Record ID|Description|EqNumber
227|MOTOR,SIEMENS MOTORS,150 HP,3600 RPM Electric Motors|000000000001034804
228|MOTOR,RELIANCE ELECTRIC,60 HP,3600 RPM Electric Motors|000000000001034809
229|MOTOR,RELIANCE ELECTRIC,300 HP,1800 RPM Electric Motors|000000000001034829
230|MOTOR,RELIANCE ELECTRIC,300 HP,3600 RPM Electric Motors|000000000001034847
231|MOTOR,GE,200 HP,3600 RPM,VERTICAL Electric Motors|000000000001034852
232|MOTOR,RELIANCE ELECTRIC,100 HP,900 RPM Electric Motors|000000000001035114
233|MOTOR,US ELECTRIC,200 HP,1800 RPM Electric Motors|000000000001035115
234|MOTOR,RELIANCE ELECTRIC,200 HP,1800 RPM Electric Motors|000000000001035116
235|MOTOR,RELIANCE ELECTRIC,60 HP,1800 RPM Electric Motors|000000000001035356
236|MOTOR,GE,100 HP,1800 RPM,VERTICAL Electric Motors|000000000001035362
237|MOTOR,GE,125 HP,1800 RPM,VERTICAL Electric Motors|000000000001035363
238|MOTOR,GE,150 HP,3600 RPM,VERTICAL Electric Motors|000000000001035364
239|MOTOR,GE,150 HP,3600 RPM Electric Motors|000000000001035367
240|MOTOR,GE,150 HP,1800 RPM,VERTICAL Electric Motors|000000000001035370
241|MOTOR,GE,150 HP,1800 RPM Electric Motors|000000000001035377
242|MOTOR,ALLEN BRADLEY,400 HP,1800 RPM Electric Motors|000000000001035686
243|MOTOR,GE,300 HP,1800 RPM,VERTICAL Electric Motors|000000000001036355
244|MOTOR,GE,400 HP,3600 RPM Electric Motors|000000000001036426
245|MOTOR,TOSHIBA ELECTRIC,50 HP,1200 RPM Electric Motors|000000000001036645
246|MOTOR,TOSHIBA ELECTRIC,60 HP,1200 RPM Electric Motors|000000000001036647
247|MOTOR,TOSHIBA ELECTRIC,75 HP,1200 RPM Electric Motors|000000000001036648
248|MOTOR,TOSHIBA ELECTRIC,100 HP,1200 RPM Electric Motors|000000000001036691
249|MOTOR,LINCOLN MOTORS,100 HP,1800 RPM Electric Motors|000000000001036739
250|MOTOR,LOUIS ALLIS,200 HP,3600 RPM Electric Motors|000000000001036746
251|MOTOR,MARATHON ELECTRIC,50 HP,1800 RPM Electric Motors|000000000001037845
252|MOTOR,RELIANCE ELECTRIC,1250 HP,3600 RPM Electric Motors|000000000001037862
253|MOTOR,GE,75 HP,1200 RPM Electric Motors|000000000001038305
254|MOTOR,WESTINGHOUSE,75 HP,1200 RPM Electric Motors|000000000001038310
255|MOTOR,TOSHIBA ELECTRIC,60 HP,900 RPM Electric Motors|000000000001038313
256|MOTOR,US ELECTRIC,75 HP,1200 RPM Electric Motors|000000000001038315
257|MOTOR,WESTINGHOUSE,50 HP,1200 RPM Electric Motors|000000000001038472
258|MOTOR,TOSHIBA ELECTRIC,50 HP,900 RPM Electric Motors|000000000001039517
259|MOTOR,RELIANCE ELECTRIC,50 HP,1200 RPM Electric Motors|000000000001039642
260|MOTOR,RELIANCE ELECTRIC,120 HP,1200 RPM Electric Motors|000000000001039643
261|MOTOR,BALDOR,75 HP,1200 RPM Electric Motors|000000000001040187
262|MOTOR,RELIANCE ELECTRIC,75 HP,1200 RPM Electric Motors|000000000001040380
263|MOTOR,MARATHON ELECTRIC,50 HP,1200 RPM Electric Motors|000000000001041694
264|MOTOR,GE,100 HP,1200 RPM Electric Motors|000000000001041695
265|MOTOR,SIEMENS-ALLIS,50 HP,1200 RPM Electric Motors|000000000001041750
266|MOTOR,GE,75 HP,900 RPM Electric Motors|000000000001041751
267|MOTOR,SIEMENS-ALLIS,300 HP,3600 RPM Electric Motors|000000000001044703
268|MOTOR,TECO-WESTINGHOUSE,125 HP,1200 RPM Electric Motors|000000000001045514
269|MOTOR,RELIANCE ELECTRIC,60 HP,1200 RPM Electric Motors|000000000001045728
270|MOTOR,GE,60 HP,1200 RPM Electric Motors|000000000001045804
271|MOTOR,GE,75 HP,3600 RPM Electric Motors|000000000001045809
272|MOTOR,MARATHON ELECTRIC,75 HP,1200 RPM Electric Motors|000000000001045840
273|MOTOR,TECO-WESTINGHOUSE,50 HP,1800 RPM Electric Motors|000000000001046787
274|MOTOR,TECO-WESTINGHOUSE,75 HP,3600 RPM Electric Motors|000000000001046789
275|MOTOR,WORLDWIDE ELECTRIC,60 HP,1200 RPM Electric Motors|000000000001046790
276|MOTOR,WORLDWIDE ELECTRIC,75 HP,1200 RPM Electric Motors|000000000001046791
277|MOTOR,WORLDWIDE ELECTRIC,100 HP,1200 RPM Electric Motors|000000000001046792
278|MOTOR,MARATHON ELECTRIC,100 HP,1200 RPM Electric Motors|000000000001046797
279|MOTOR,MARATHON ELECTRIC,125 HP,1200 RPM Electric Motors|000000000001046799
280|MOTOR,MARATHON ELECTRIC,150 HP,1200 RPM Electric Motors|000000000001046800
281|MOTOR,US MOTORS,125 HP,1800 RPM Electric Motors|000000000001046801
282|MOTOR,US MOTORS,300 HP,1200 RPM Electric Motors|000000000001046803
283|MOTOR,GE,200 HP,1200 RPM Electric Motors|000000000001046805
284|MOTOR,RELIANCE ELECTRIC,250 HP,3600 RPM Electric Motors|000000000001046806
285|MOTOR,RELIANCE ELECTRIC,100 HP,1200 RPM Electric Motors|000000000001047005
286|MOTOR,TECO-WESTINGHOUSE,125 HP,1800 RPM Electric Motors|000000000001047565
287|MOTOR,FAIRBANKS MORSE,50 HP,900 RPM Electric Motors|000000000001048968
288|MOTOR,ALLIS-CHALMERS,75 HP,1800 RPM Electric Motors|000000000001049491
289|MOTOR,GE,50 HP,1200 RPM Electric Motors|000000000001049576
290|MOTOR,WESTINGHOUSE,100 HP,1800 RPM Electric Motors|000000000001050766
291|MOTOR,US ELECTRIC,60 HP,1800 RPM Electric Motors|000000000001051078
292|MOTOR,WESTINGHOUSE,75 HP,1800 RPM Electric Motors|000000000001051081
293|MOTOR,GE,300 HP,1800 RPM Electric Motors|000000000001051673
294|MOTOR,CENTURY,75 HP,1800 RPM Electric Motors|000000000001051858
295|MOTOR,LINCOLN MOTORS,75 HP,1800 RPM Electric Motors|000000000001051860
296|MOTOR,US ELECTRIC,50 HP,1200 RPM Electric Motors|000000000001052589
297|MOTOR,ALLIS-CHALMERS,100 HP,1200 RPM Electric Motors|000000000001056197
298|MOTOR,ALLIS-CHALMERS,100 HP,1800 RPM Electric Motors|000000000001056211
299|MOTOR,AJAX,100 HP,1200 RPM Electric Motors|000000000001056213
300|MOTOR,ALLIS-CHALMERS,200 HP,1200 RPM Electric Motors|000000000001056228
301|MOTOR,BALDOR,100 HP,1800 RPM Electric Motors|000000000001056229
302|MOTOR,BALDOR,50 HP,3600 RPM Electric Motors|000000000001056253
303|MOTOR,BALDOR,60 HP,1800 RPM Electric Motors|000000000001056254
304|MOTOR,DAYTON,100 HP,1800 RPM Electric Motors|000000000001056256
305|MOTOR,DAYTON,50 HP,1800 RPM Electric Motors|000000000001056260
306|MOTOR,DAYTON,60 HP,3600 RPM Electric Motors|000000000001056266
307|MOTOR,DELCO,75 HP,1800 RPM Electric Motors|000000000001056271
308|MOTOR,FAIRBANKS MORSE,50 HP,1800 RPM Electric Motors|000000000001056278
309|MOTOR,GE,100 HP,1800 RPM Electric Motors|000000000001056281
310|MOTOR,GE,100 HP,900 RPM Electric Motors|000000000001056282
311|MOTOR,GE,50 HP,1800 RPM Electric Motors|000000000001056285
